Time_days,Depth_m,Pressure_Head,FS
0.0,12.8232,-395.082,0.6297297542544833
0.0,12.8783,-394.632,0.6295620082052036
0.0,12.9333,-394.182,0.6293959920103263
0.0,12.9884,-393.732,0.6292310838117192
0.0,13.0434,-393.281,0.6290678643741823
0.0,13.0984,-392.831,0.6289060156489563
0.0,13.1535,-392.381,0.6287452298543561
0.0,13.2085,-391.931,0.6285860736712987
0.0,13.2635,-391.48,0.6284282374399991
0.0,13.3186,-391.03,0.6282714213805062
0.0,13.3736,-390.58,0.6281161785903936
0.0,13.4286,-390.129,0.6279622074672392
0.0,13.4837,-389.679,0.6278092159205225
0.0,13.5387,-389.229,0.6276577439418576
0.0,13.5938,-388.778,0.6275072256042172
0.0,13.6488,-388.328,0.6273581924137424
0.0,13.7038,-387.878,0.6272103555083091
0.0,13.7589,-387.428,0.627063434964114
0.0,13.8139,-386.977,0.6269179499291165
0.0,13.8689,-386.527,0.6267736187962927
0.0,13.924,-386.077,0.6266301685748985
0.0,13.979,-385.626,0.626488106476498
0.0,14.034,-385.176,0.6263471578760896
0.0,14.0891,-384.726,0.6262070564582566
0.0,14.1441,-384.276,0.6260682979011816
0.0,14.1991,-383.825,0.6259306143024684
0.0,14.2542,-383.375,0.6257937457770456
0.0,14.3092,-382.925,0.6256581768549772
0.0,14.3642,-382.474,0.6255236461098647
0.0,14.4193,-382.024,0.6253898998539666
0.0,14.4743,-381.574,0.6252574118376972
0.0,14.5294,-381.124,0.6251256887191049
0.0,14.5844,-380.673,0.6249951972568937
0.0,14.6394,-380.223,0.624865686303504
0.0,14.6945,-379.773,0.6247369120136447
0.0,14.7495,-379.322,0.6246093309456305
0.0,14.8045,-378.872,0.6244826978270562
0.0,14.8596,-378.422,0.6243567744416835
0.0,14.9146,-377.971,0.6242320074753407
0.0,14.9696,-377.521,0.6241081573248314
0.0,15.0247,-377.071,0.623984991207996
0.0,15.0797,-376.621,0.6238629462523031
0.0,15.1347,-376.17,0.6237417883274153
0.0,15.1898,-375.72,0.6236212898992689
0.0,15.2448,-375.27,0.6235018788380297
0.0,15.2999,-374.819,0.6233831115251065
0.0,15.3549,-374.369,0.6232654098184326
0.0,15.4099,-373.919,0.6231485482981156
0.0,15.4649,-373.469,0.6230325179999361
0.0,15.52,-373.018,0.6229171013614815
0.0,15.575,-372.568,0.6228027085925053
0.0,15.6301,-372.118,0.6226889150959529
0.0,15.6851,-371.667,0.6225761254336492
0.0,15.7401,-371.217,0.6224641240041302
0.0,15.7952,-370.767,0.622352701057941
0.0,15.8502,-370.317,0.622242252902075
0.0,15.9052,-369.866,0.6221325686031327
0.0,15.9603,-369.416,0.6220234428964072
0.0,16.0153,-368.966,0.6219152640823218
0.0,16.0703,-368.515,0.6218078257441171
0.0,16.1254,-368.065,0.6217009269580083
0.0,16.1804,-367.615,0.6215949482563314
0.0,16.2355,-367.164,0.6214894968605666
0.0,16.2905,-366.714,0.6213849482506862
0.0,16.3455,-366.264,0.6212811032195946
0.0,16.4006,-365.814,0.6211777677761098
0.0,16.4556,-365.363,0.6210753100091728
0.0,16.5106,-364.913,0.6209735348554882
0.0,16.5657,-364.463,0.6208722523103767
0.0,16.6207,-364.013,0.6207718232863888
0.0,16.6757,-363.562,0.6206720567348993
0.0,16.7308,-363.112,0.6205727665148795
0.0,16.7858,-362.662,0.6204743065689584
0.0,16.8408,-362.211,0.6203764897394006
0.0,16.8959,-361.761,0.6202791336310158
0.0,16.9509,-361.311,0.6201825854151909
0.0,17.006,-360.86,0.620086487864715
0.0,17.061,-360.41,0.6199911837421851
0.0,17.116,-359.96,0.619896492114016
0.0,17.171,-359.51,0.6198024070946115
0.0,17.2261,-359.059,0.6197087534459081
0.0,17.2811,-358.609,0.6196158653634686
0.0,17.3362,-358.159,0.6195233993865795
0.0,17.3912,-357.708,0.6194316855446258
0.0,17.4462,-357.258,0.6193405499674299
0.0,17.5013,-356.808,0.6192498230619872
0.0,17.5563,-356.358,0.6191598287539423
0.0,17.6113,-355.907,0.6190703965494264
0.0,17.6664,-355.457,0.6189813601109392
0.0,17.7214,-355.007,0.6188930374271769
0.0,17.7764,-354.556,0.6188052612823772
0.0,17.8315,-354.106,0.6187178685008572
0.0,17.8865,-353.656,0.618631171295173
0.0,17.9415,-353.206,0.6185450056332631
0.0,17.9966,-352.755,0.618459211411165
0.0,18.0516,-352.305,0.6183740952203821
0.0,18.1066,-351.855,0.6182894961217638
0.0,18.1617,-351.404,0.6182052569963886
0.0,18.2167,-350.954,0.6181216789643232
0.0,18.2718,-350.504,0.6180384535022478
0.0,18.3268,-350.053,0.6179558781620604
0.0,18.3818,-349.603,0.6178737969675726
0.0,18.4369,-349.153,0.6177920575916509
0.0,18.4919,-348.703,0.6177109523526294
0.0,18.5469,-348.252,0.6176303281415042
0.0,18.602,-347.802,0.6175500354005293
0.0,18.657,-347.352,0.6174703613506312
0.0,18.712,-346.901,0.6173911556710562
0.0,18.7671,-346.451,0.6173122714979825
0.0,18.8221,-346.001,0.6172339910864285
0.0,18.8771,-345.551,0.6171561668278466
0.0,18.9322,-345.1,0.6170786544796127
0.0,18.9872,-344.65,0.6170017314578771
0.0,19.0423,-344.2,0.6169251141432487
0.0,19.0973,-343.75,0.6168490767934767
0.0,19.1523,-343.299,0.6167734761593197
0.0,19.2074,-342.849,0.6166981722127474
0.0,19.2624,-342.399,0.6166234345749855
0.0,19.3174,-341.948,0.6165491225193493
0.0,19.3725,-341.498,0.6164750984575177
0.0,19.4275,-341.048,0.6164016274902246
0.0,19.4825,-340.597,0.6163285713468198
0.0,19.5376,-340.147,0.6162557948149927
0.0,19.5926,-339.697,0.6161835585871951
0.0,19.6476,-339.247,0.6161117267846228
0.0,19.7027,-338.796,0.6160401665094904
0.0,19.7577,-338.346,0.6159691341545127
0.0,19.8127,-337.896,0.615898496170774
0.0,19.8678,-337.445,0.6158281219156462
0.0,19.9228,-336.995,0.615758263587134
0.0,19.9779,-336.545,0.6156886639389895
0.0,20.0329,-336.095,0.6156195724285958
0.0,20.0879,-335.644,0.6155508592587027
0.0,20.143,-335.194,0.6154823974192462
0.0,20.198,-334.744,0.6154144323405264
0.0,20.253,-334.293,0.6153468364001398
0.0,20.3081,-333.843,0.6152794846945314
0.0,20.3631,-333.393,0.6152126187232342
0.0,20.4181,-332.943,0.6151461129841254
0.0,20.4732,-332.492,0.6150798446278135
0.0,20.5282,-332.042,0.6150140513163469
0.0,20.5833,-331.592,0.6149484909487407
0.0,20.6383,-331.141,0.6148833986783451
0.0,20.6933,-330.691,0.614818652420898
0.0,20.7484,-330.241,0.614754132639353
0.0,20.8034,-329.79,0.61469007079864
0.0,20.8584,-329.34,0.6146263467979569
0.0,20.9135,-328.89,0.6145628430230946
0.0,20.9685,-328.44,0.6144997873363172
0.0,21.0235,-327.989,0.6144370615720335
0.0,21.0786,-327.539,0.6143745499925339
0.0,21.1336,-327.089,0.6143124769405451
0.0,21.1886,-326.638,0.6142507261389984
0.0,21.2437,-326.188,0.6141891836818335
0.0,21.2987,-325.738,0.6141280704728385
0.0,21.3537,-325.288,0.6140672720782778
0.0,21.4088,-324.837,0.6140066763803158
0.0,21.4638,-324.387,0.6139465009219702
0.0,21.5189,-323.937,0.6138865244971613
0.0,21.5739,-323.487,0.6138269624499995
0.0,21.6289,-323.036,0.613767703322782
0.0,21.684,-322.586,0.6137086378855886
0.0,21.739,-322.135,0.6136499782468917
0.0,21.794,-321.685,0.613591614678685
0.0,21.8491,-321.235,0.6135334396300188
0.0,21.9041,-320.785,0.6134756620458416
0.0,21.9591,-320.334,0.6134181738876546
0.0,22.0142,-319.884,0.6133608692448229
0.0,22.0692,-319.434,0.6133039539687645
0.0,22.1242,-318.983,0.6132473216715423
0.0,22.1793,-318.533,0.613190868045363
0.0,22.2343,-318.083,0.6131347959160665
0.0,22.2893,-317.633,0.6130790005085255
0.0,22.3444,-317.182,0.6130233790814548
0.0,22.3994,-316.732,0.6129681315010997
0.0,22.4545,-316.282,0.6129130548557623
0.0,22.5095,-315.832,0.6128583470737599
0.0,22.5645,-315.381,0.6128039059874968
