z_m,h_m,t_hr
45.6798,-0.591,1155.0
45.704,-0.59,1155.0
45.7281,-0.589,1155.0
45.7523,-0.588,1155.0
45.7764,-0.586,1155.0
45.8005,-0.585,1155.0
45.8247,-0.584,1155.0
45.8488,-0.583,1155.0
45.873,-0.581,1155.0
45.8971,-0.58,1155.0
45.9212,-0.579,1155.0
45.9454,-0.577,1155.0
45.9695,-0.576,1155.0
45.9937,-0.575,1155.0
46.0178,-0.574,1155.0
46.042,-0.572,1155.0
46.0901,-0.57,1155.0
46.1383,-0.567,1155.0
46.1865,-0.565,1155.0
46.2346,-0.562,1155.0
46.2828,-0.56,1155.0
46.3309,-0.557,1155.0
46.3791,-0.555,1155.0
46.4272,-0.552,1155.0
46.4754,-0.549,1155.0
46.5236,-0.547,1155.0
46.5717,-0.544,1155.0
46.6199,-0.542,1155.0
46.6681,-0.539,1155.0
46.7162,-0.537,1155.0
46.7644,-0.534,1155.0
46.8125,-0.532,1155.0
46.8607,-0.529,1155.0
46.9089,-0.527,1155.0
46.957,-0.524,1155.0
47.0052,-0.522,1155.0
47.0533,-0.519,1155.0
47.1015,-0.516,1155.0
47.1497,-0.514,1155.0
47.1978,-0.511,1155.0
47.246,-0.509,1155.0
47.2942,-0.506,1155.0
47.3423,-0.504,1155.0
47.3905,-0.501,1155.0
47.4386,-0.499,1155.0
47.4868,-0.496,1155.0
47.535,-0.494,1155.0
47.5831,-0.491,1155.0
47.6313,-0.489,1155.0
47.6795,-0.486,1155.0
47.7276,-0.483,1155.0
47.7758,-0.481,1155.0
47.8239,-0.478,1155.0
47.8721,-0.476,1155.0
47.9203,-0.473,1155.0
47.9684,-0.471,1155.0
48.0166,-0.468,1155.0
48.0647,-0.466,1155.0
48.1129,-0.463,1155.0
48.1611,-0.461,1155.0
48.2092,-0.458,1155.0
48.2574,-0.456,1155.0
48.3055,-0.453,1155.0
48.3537,-0.45,1155.0
48.4019,-0.448,1155.0
48.45,-0.445,1155.0
48.4982,-0.443,1155.0
48.5464,-0.44,1155.0
48.5945,-0.438,1155.0
48.6427,-0.435,1155.0
48.6908,-0.433,1155.0
48.739,-0.43,1155.0
48.7872,-0.428,1155.0
48.8353,-0.425,1155.0
48.8835,-0.423,1155.0
48.9316,-0.42,1155.0
48.9798,-0.417,1155.0
49.028,-0.415,1155.0
49.0761,-0.412,1155.0
49.1243,-0.41,1155.0
49.1725,-0.407,1155.0
49.2206,-0.405,1155.0
49.2688,-0.402,1155.0
49.3169,-0.4,1155.0
49.3651,-0.397,1155.0
49.4133,-0.395,1155.0
49.4614,-0.392,1155.0
49.5096,-0.389,1155.0
49.5578,-0.387,1155.0
49.6059,-0.384,1155.0
49.6541,-0.382,1155.0
49.7022,-0.379,1155.0
49.7504,-0.377,1155.0
49.7986,-0.374,1155.0
49.8467,-0.372,1155.0
49.8949,-0.369,1155.0
49.943,-0.367,1155.0
49.9912,-0.364,1155.0
50.0394,-0.362,1155.0
50.0875,-0.359,1155.0
50.1357,-0.356,1155.0
50.1838,-0.354,1155.0
50.232,-0.351,1155.0
50.2802,-0.349,1155.0
50.3283,-0.346,1155.0
50.3765,-0.344,1155.0
50.4247,-0.341,1155.0
50.4728,-0.339,1155.0
50.521,-0.336,1155.0
50.5691,-0.334,1155.0
50.6173,-0.331,1155.0
50.6655,-0.329,1155.0
50.7136,-0.326,1155.0
50.7618,-0.323,1155.0
50.81,-0.321,1155.0
50.8581,-0.318,1155.0
50.9063,-0.316,1155.0
50.9544,-0.313,1155.0
51.0026,-0.311,1155.0
51.0508,-0.308,1155.0
51.0989,-0.306,1155.0
51.1471,-0.303,1155.0
51.1952,-0.301,1155.0
51.2434,-0.298,1155.0
51.2916,-0.296,1155.0
51.3397,-0.293,1155.0
51.3879,-0.29,1155.0
51.4361,-0.288,1155.0
51.4842,-0.285,1155.0
51.5324,-0.283,1155.0
51.5805,-0.28,1155.0
51.6287,-0.278,1155.0
51.6769,-0.275,1155.0
51.725,-0.273,1155.0
51.7732,-0.27,1155.0
51.8213,-0.268,1155.0
51.8695,-0.265,1155.0
51.9177,-0.263,1155.0
51.9658,-0.26,1155.0
52.014,-0.257,1155.0
52.0621,-0.255,1155.0
52.1103,-0.252,1155.0
