t_hours,z_meters,psi_meters,t_norm,z_norm,psi_norm,source
1357.0,6.5216,-0.478,0.6011904761904762,0.11857454545454546,-0.04629192253188463,profile_snapshot
1443.0,4.7825,-0.456,0.8571428571428571,0.08695454545454545,-0.03589985829003306,profile_snapshot
1359.0,6.5699,-0.478,0.6071428571428571,0.11945272727272727,-0.04629192253188463,profile_snapshot
1355.0,6.3767,-0.48,0.5952380952380952,0.11593999999999999,-0.04723665564478041,profile_snapshot
1345.0,3.3816,-0.434,0.5654761904761905,0.061483636363636365,-0.025507794048181487,profile_snapshot
1463.0,13.5082,-2.347,0.9166666666666666,0.24560363636363639,-0.9291450165328295,profile_snapshot
1383.0,12.3526,-2.399,0.6785714285714286,0.22459272727272728,-0.9537080774681154,profile_snapshot
1487.0,7.0047,-0.465,0.9880952380952381,0.12735818181818181,-0.04015115729806329,profile_snapshot
1373.0,8.4044,-0.435,0.6488095238095238,0.15280727272727274,-0.025980160604629265,profile_snapshot
1447.0,5.7487,-0.455,0.8690476190476191,0.10452181818181819,-0.03542749173358539,profile_snapshot
1379.0,19.0935,-2.05,0.6666666666666666,0.34715454545454544,-0.7888521492678318,profile_snapshot
1443.0,9.9452,-0.457,0.8571428571428571,0.18082181818181817,-0.03637222484648084,profile_snapshot
1423.0,6.0869,-0.487,0.7976190476190477,0.11067090909090908,-0.050543221539915084,profile_snapshot
1185.0,5.169,-0.322,0.08928571428571429,0.09398181818181818,0.02739726027397249,profile_snapshot
1481.0,4.4443,-0.493,0.9702380952380952,0.08080545454545454,-0.053377420878601756,profile_snapshot
1425.0,18.0342,-2.108,0.8035714285714286,0.32789454545454544,-0.8162494095418045,profile_snapshot
1305.0,13.6045,-2.335,0.44642857142857145,0.24735454545454544,-0.9234766178554559,profile_snapshot
1471.0,6.2801,-0.459,0.9404761904761905,0.11418363636363636,-0.03731695795937651,profile_snapshot
1433.0,5.3139,-0.451,0.8273809523809523,0.09661636363636364,-0.03353802550779417,profile_snapshot
1443.0,5.6038,-0.454,0.8571428571428571,0.10188727272727272,-0.034955125177137614,profile_snapshot
1215.0,17.9379,-2.104,0.17857142857142858,0.32614363636363636,-0.8143599433160134,profile_snapshot
1275.0,12.4489,-2.392,0.35714285714285715,0.22634363636363636,-0.9504015115729807,profile_snapshot
1325.0,11.4859,-2.433,0.5059523809523809,0.20883454545454547,-0.9697685403873405,profile_snapshot
1369.0,9.0785,-0.415,0.6369047619047619,0.16506363636363636,-0.01653282947567314,profile_snapshot
1459.0,16.1083,-2.211,0.9047619047619048,0.2928781818181818,-0.8649031648559282,profile_snapshot
1475.0,5.5554,-0.464,0.9523809523809523,0.10100727272727272,-0.03967879074161551,profile_snapshot
1435.0,11.4859,-2.127,0.8333333333333334,0.20883454545454547,-0.8252243741143126,profile_snapshot
1435.0,14.5675,-2.291,0.8333333333333334,0.26486363636363636,-0.9026924893717525,profile_snapshot
1489.0,4.5893,-0.495,0.9940476190476191,0.08344181818181817,-0.054322153991497535,profile_snapshot
1281.0,4.6859,-0.477,0.375,0.08519818181818183,-0.045819555975436965,profile_snapshot
